"","country","gdp","population","crimerate","education index","health index","GDPperCAPITA","cluster_numbr"
"126","Solomon Islands",1440,669823,3.77,0.445,80,2246,2
"127","South Africa",358839,58558270,36.4,0.705,175,6100,6
"128","Spain",1397870,46736776,0.62,0.818,7,29961,1
"129","Sri Lanka",86566,21323733,2.42,0.752,76,3946,4
"130","Sudan",30873,42813238,5.16,0.318,134,714,3
"131","Suriname",3774,581372,5.5,0.63,110,6310,2
"132","Sweden",528929,10036379,1.08,0.855,23,51241,1
"133","Switzerland",715360,8591365,0.59,0.891,20,83716,1
"134","Tajikistan",8152,9321018,1.61,0.658,154,877,2
"135","Tanzania",62224,58005463,6.95,0.441,156,1104,3
"136","Thailand",529177,69037513,3.24,0.641,47,7791,4
"137","Togo",5502,8082366,9,0.489,152,671,3
"138","Tonga",488,110940,0.95,0.766,116,4862,4
"139","Trinidad and Tobago",22607,1394973,30.88,0.717,67,16365,6
"140","Tunisia",38732,11694719,3.05,0.643,52,3287,4
"141","Turkey",743708,83429615,2.59,0.668,70,8957,4
"142","Turkmenistan",46674,5942089,4.22,0.629,153,7816,2
"143","Uganda",30666,44269594,10.42,0.467,149,770,3
"144","Ukraine",150401,43993638,6.2,0.803,79,3592,4
"145","United Arab Emirates",405771,9770529,0.5,0.687,27,37749,1
"146","United Kingdom",2743586,67530172,1.2,0.896,18,41030,1
"147","United States",21439453,329064917,4.96,0.9,37,65111,5
"148","Uruguay",59918,3461734,12.06,0.717,65,17029,4
"149","Uzbekistan",60490,32981716,1.1,0.74,117,1831,2
"150","Vanuatu",951,299882,2.13,0.526,127,3260,2
"151","Venezuela",70140,28515829,36.69,0.71,54,2547,6
"152","Yemen",29855,29161922,6.66,0.35,120,943,3
"153","Zambia",23946,17861030,5.3,0.577,182,1307,3
"154","Zimbabwe",12818,14645468,6.67,0.544,155,859,2
